"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"989","1047","0.0625","0.0661","0.0697","0.080500","7952","0.138","0.095"
"885"," 943","0.0627","0.0662","0.0698","0.073200","7228","0.124","0.090"
"974","1032","0.0625","0.0662","0.0698","0.077100","7613","0.136","0.095"
"1033","1091","0.0626","0.0662","0.0699","0.082500","8147","0.144","0.100"
"871"," 929","0.0628","0.0663","0.0698","0.073500","7257","0.122","0.085"
"945","1003","0.0630","0.0663","0.0695","0.086800","8573","0.132","0.090"
"1017","1075","0.0624","0.0663","0.0702","0.072700","7183","0.142","0.105"
"856"," 914","0.0628","0.0664","0.0699","0.070300","6945","0.120","0.085"
"1002","1060","0.0626","0.0666","0.0706","0.069400","6854","0.140","0.105"
"987","1045","0.0626","0.0667","0.0708","0.066300","6552","0.138","0.105"
"870"," 928","0.0632","0.0668","0.0704","0.070000","6911","0.122","0.090"
"914"," 972","0.0628","0.0668","0.0707","0.065200","6444","0.128","0.095"
"959","1017","0.0630","0.0668","0.0705","0.074000","7308","0.134","0.095"
"855"," 913","0.0632","0.0669","0.0706","0.066900","6607","0.120","0.090"
"929"," 987","0.0632","0.0670","0.0709","0.068200","6740","0.130","0.095"
"1018","1076","0.0637","0.0673","0.0710","0.079000","7801","0.142","0.100"
"944","1002","0.0638","0.0676","0.0714","0.071300","7044","0.132","0.095"
"1003","1061","0.0639","0.0676","0.0714","0.075500","7455","0.140","0.100"
"988","1046","0.0640","0.0678","0.0717","0.072300","7138","0.138","0.100"
"973","1031","0.0640","0.0679","0.0718","0.069200","6835","0.136","0.100"
"958","1016","0.0646","0.0686","0.0726","0.066300","6552","0.134","0.100"
"943","1001","0.0656","0.0696","0.0736","0.063800","6304","0.132","0.100"
"883"," 941","0.0658","0.0702","0.0746","0.053200","5255","0.124","0.100"
"853"," 911","0.0662","0.0708","0.0754","0.048300","4771","0.120","0.100"
"868"," 926","0.0663","0.0708","0.0753","0.050800","5015","0.122","0.100"
"823"," 881","0.0671","0.0718","0.0766","0.043900","4339","0.116","0.100"
"851"," 909","0.0664","0.0718","0.0772","0.037400","3694","0.120","0.110"
"645"," 703","0.0670","0.0720","0.0771","0.031900","3151","0.092","0.090"
"660"," 718","0.0671","0.0720","0.0770","0.033800","3336","0.094","0.090"
"748"," 806","0.0665","0.0720","0.0774","0.033700","3327","0.106","0.100"
"763"," 821","0.0667","0.0720","0.0773","0.035500","3510","0.108","0.100"
"793"," 851","0.0670","0.0720","0.0771","0.039600","3908","0.112","0.100"
"808"," 866","0.0673","0.0722","0.0771","0.041700","4124","0.114","0.100"
"879"," 937","0.0662","0.0725","0.0788","0.030200","2982","0.124","0.120"
"820"," 878","0.0668","0.0727","0.0785","0.031800","3146","0.116","0.115"
"821"," 879","0.0673","0.0729","0.0786","0.033900","3353","0.116","0.110"
"733"," 791","0.0679","0.0734","0.0790","0.031400","3105","0.104","0.100"
"790"," 848","0.0676","0.0737","0.0799","0.028500","2818","0.112","0.115"
"791"," 849","0.0677","0.0737","0.0796","0.030400","3003","0.112","0.110"
"805"," 863","0.0677","0.0737","0.0797","0.030100","2973","0.114","0.115"
"806"," 864","0.0681","0.0738","0.0796","0.032100","3171","0.114","0.110"
"688"," 746","0.0679","0.0740","0.0801","0.026200","2591","0.098","0.100"
"718"," 776","0.0687","0.0744","0.0801","0.029600","2921","0.102","0.100"
"703"," 761","0.0687","0.0746","0.0804","0.027900","2757","0.100","0.100"
"673"," 731","0.0687","0.0749","0.0811","0.024700","2439","0.096","0.100"
"731"," 789","0.0682","0.0749","0.0815","0.023800","2352","0.104","0.110"
"658"," 716","0.0695","0.0758","0.0822","0.023300","2303","0.094","0.100"
"701"," 759","0.0688","0.0758","0.0828","0.021100","2088","0.100","0.110"
"716"," 774","0.0689","0.0758","0.0826","0.022400","2213","0.102","0.110"
"643"," 701","0.0694","0.0760","0.0826","0.021900","2161","0.092","0.100"
"715"," 773","0.0691","0.0762","0.0833","0.020900","2062","0.102","0.115"
"670"," 728","0.0685","0.0763","0.0841","0.017400","1720","0.096","0.115"
"714"," 772","0.0678","0.0763","0.0847","0.016000","1579","0.102","0.120"
"700"," 758","0.0692","0.0765","0.0838","0.019700","1944","0.100","0.115"
"656"," 714","0.0694","0.0770","0.0846","0.017700","1749","0.094","0.110"
"641"," 699","0.0694","0.0773","0.0851","0.016600","1636","0.092","0.110"
"537"," 595","0.0689","0.0777","0.0865","0.011900","1176","0.078","0.105"
"654"," 712","0.0682","0.0777","0.0872","0.012500","1232","0.094","0.120"
"655"," 713","0.0699","0.0779","0.0858","0.016400","1625","0.094","0.115"
"640"," 698","0.0699","0.0781","0.0863","0.015400","1521","0.092","0.115"
"639"," 697","0.0687","0.0784","0.0882","0.011600","1149","0.092","0.120"
"516"," 574","0.0548","0.0786","0.1020","0.002390"," 236","0.076","0.135"
"507"," 565","0.0695","0.0788","0.0881","0.010400","1024","0.074","0.105"
"519"," 577","0.0658","0.0788","0.0918","0.006370"," 629","0.076","0.120"
"538"," 596","0.0707","0.0788","0.0869","0.013300","1312","0.078","0.100"
