"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"505"," 563","0.0682","0.0793","0.0904","0.007930"," 783","0.074","0.115"
"518"," 576","0.0636","0.0793","0.0949","0.004670"," 461","0.076","0.125"
"536"," 594","0.0694","0.0793","0.0892","0.009860"," 974","0.078","0.110"
"491"," 549","0.0685","0.0794","0.0903","0.007930"," 783","0.072","0.110"
"523"," 581","0.0715","0.0798","0.0882","0.012400","1222","0.076","0.100"
"502"," 560","0.0594","0.0799","0.1000","0.002930"," 289","0.074","0.130"
"504"," 562","0.0668","0.0800","0.0932","0.005960"," 589","0.074","0.120"
"508"," 566","0.0716","0.0802","0.0887","0.011500","1140","0.074","0.100"
"521"," 579","0.0704","0.0806","0.0908","0.009220"," 911","0.076","0.110"
"506"," 564","0.0711","0.0815","0.0919","0.008580"," 848","0.074","0.110"
"503"," 561","0.0658","0.0817","0.0976","0.004330"," 428","0.074","0.125"
"486"," 544","0.0585","0.0841","0.1100","0.001930"," 191","0.072","0.135"
"193"," 251","0.0575","0.0850","0.1120","0.001080"," 107","0.032","0.100"
"178"," 236","0.0562","0.0856","0.1150","0.000891","  88","0.030","0.100"
"236"," 294","0.0571","0.0857","0.1140","0.001110"," 110","0.038","0.110"
"150"," 208","0.0632","0.0865","0.1100","0.001140"," 113","0.026","0.090"
"501"," 559","0.0629","0.0865","0.1100","0.002200"," 217","0.074","0.135"
"163"," 221","0.0616","0.0913","0.1210","0.000820","  81","0.028","0.100"
"147"," 205","0.0612","0.0953","0.1290","0.000638","  63","0.026","0.105"
"148"," 206","0.0658","0.0965","0.1270","0.000729","  72","0.026","0.100"
