"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"973","1033","0.0610","0.0642","0.0675","0.089300","8827","0.136","0.090"
"988","1048","0.0610","0.0642","0.0673","0.093100","9198","0.138","0.090"
"1076","1136","0.0608","0.0643","0.0678","0.085800","8477","0.150","0.100"
"959","1019","0.0614","0.0646","0.0677","0.090400","8929","0.134","0.085"
"929"," 989","0.0614","0.0647","0.0679","0.083800","8282","0.130","0.085"
"958","1018","0.0618","0.0650","0.0683","0.086100","8504","0.134","0.090"
"944","1004","0.0620","0.0651","0.0683","0.087300","8620","0.132","0.085"
"943","1003","0.0624","0.0657","0.0689","0.083100","8211","0.132","0.090"
"883"," 943","0.0625","0.0661","0.0696","0.070300","6941","0.124","0.090"
"1016","1076","0.0624","0.0661","0.0699","0.074100","7323","0.142","0.100"
"869"," 929","0.0627","0.0662","0.0697","0.070700","6980","0.122","0.085"
"1001","1061","0.0627","0.0665","0.0703","0.070900","7004","0.140","0.100"
"853"," 913","0.0632","0.0669","0.0706","0.064300","6349","0.120","0.090"
"986","1046","0.0630","0.0669","0.0708","0.068000","6714","0.138","0.100"
"942","1002","0.0631","0.0670","0.0708","0.067600","6682","0.132","0.095"
"971","1031","0.0630","0.0670","0.0710","0.065100","6433","0.136","0.100"
"823"," 883","0.0633","0.0671","0.0710","0.058700","5797","0.116","0.090"
"956","1016","0.0638","0.0679","0.0719","0.062500","6171","0.134","0.100"
"926"," 986","0.0646","0.0688","0.0730","0.057600","5689","0.130","0.100"
"911"," 971","0.0646","0.0689","0.0731","0.055000","5435","0.128","0.100"
"763"," 823","0.0648","0.0690","0.0732","0.048200","4758","0.108","0.090"
"896"," 956","0.0647","0.0690","0.0734","0.052500","5191","0.126","0.100"
"941","1001","0.0649","0.0690","0.0731","0.060100","5942","0.132","0.100"
"881"," 941","0.0657","0.0702","0.0746","0.050300","4968","0.124","0.100"
"866"," 926","0.0664","0.0709","0.0754","0.048000","4738","0.122","0.100"
"851"," 911","0.0665","0.0711","0.0757","0.045700","4513","0.120","0.100"
"805"," 865","0.0667","0.0719","0.0771","0.035800","3534","0.114","0.105"
"821"," 881","0.0671","0.0719","0.0767","0.041500","4104","0.116","0.100"
"864"," 924","0.0665","0.0719","0.0772","0.036700","3623","0.122","0.110"
"776"," 836","0.0669","0.0721","0.0773","0.035600","3514","0.110","0.100"
"849"," 909","0.0668","0.0722","0.0777","0.034800","3436","0.120","0.110"
"761"," 821","0.0671","0.0724","0.0777","0.033800","3337","0.108","0.100"
"791"," 851","0.0674","0.0724","0.0774","0.037500","3706","0.112","0.100"
"806"," 866","0.0676","0.0725","0.0773","0.039600","3908","0.114","0.100"
"819"," 879","0.0674","0.0731","0.0788","0.031600","3118","0.116","0.110"
"731"," 791","0.0683","0.0739","0.0794","0.029900","2951","0.104","0.100"
"626"," 686","0.0674","0.0743","0.0812","0.019400","1917","0.090","0.100"
"715"," 775","0.0681","0.0743","0.0804","0.025300","2503","0.102","0.105"
"789"," 849","0.0683","0.0743","0.0802","0.028400","2801","0.112","0.110"
"804"," 864","0.0685","0.0743","0.0801","0.029900","2955","0.114","0.110"
"686"," 746","0.0683","0.0744","0.0805","0.024900","2464","0.098","0.100"
"788"," 848","0.0682","0.0744","0.0806","0.026500","2616","0.112","0.115"
"524"," 584","0.0687","0.0747","0.0807","0.019500","1926","0.076","0.085"
"655"," 715","0.0680","0.0749","0.0818","0.020100","1981","0.094","0.105"
"701"," 761","0.0691","0.0749","0.0808","0.026500","2616","0.100","0.100"
"671"," 731","0.0689","0.0751","0.0813","0.023500","2322","0.096","0.100"
"716"," 776","0.0695","0.0752","0.0809","0.028100","2774","0.102","0.100"
"729"," 789","0.0689","0.0755","0.0822","0.022200","2198","0.104","0.110"
"641"," 701","0.0691","0.0757","0.0823","0.020800","2058","0.092","0.100"
"656"," 716","0.0696","0.0759","0.0823","0.022200","2193","0.094","0.100"
"728"," 788","0.0690","0.0759","0.0829","0.020700","2043","0.104","0.115"
"699"," 759","0.0693","0.0764","0.0835","0.019700","1947","0.100","0.110"
"714"," 774","0.0700","0.0768","0.0837","0.020900","2066","0.102","0.110"
"713"," 773","0.0703","0.0774","0.0846","0.019400","1915","0.102","0.115"
"638"," 698","0.0696","0.0778","0.0861","0.014400","1418","0.092","0.115"
"712"," 772","0.0694","0.0779","0.0864","0.014500","1432","0.102","0.120"
"637"," 697","0.0681","0.0781","0.0880","0.010600","1046","0.092","0.120"
"652"," 712","0.0684","0.0781","0.0877","0.011400","1122","0.094","0.120"
"653"," 713","0.0702","0.0782","0.0862","0.015300","1515","0.094","0.115"
"535"," 595","0.0695","0.0783","0.0871","0.011300","1121","0.078","0.105"
"491"," 551","0.0695","0.0785","0.0874","0.010200","1010","0.072","0.100"
"520"," 580","0.0700","0.0791","0.0881","0.010500","1042","0.076","0.105"
"505"," 565","0.0699","0.0792","0.0885","0.009870"," 975","0.074","0.105"
"536"," 596","0.0714","0.0794","0.0875","0.012700","1257","0.078","0.100"
"534"," 594","0.0702","0.0801","0.0901","0.009300"," 919","0.078","0.110"
"506"," 566","0.0720","0.0806","0.0891","0.011000","1091","0.074","0.100"
"521"," 581","0.0723","0.0806","0.0889","0.011800","1170","0.076","0.100"
"500"," 560","0.0602","0.0817","0.1030","0.002430"," 240","0.074","0.130"
"519"," 579","0.0716","0.0817","0.0919","0.008690"," 859","0.076","0.110"
"236"," 296","0.0591","0.0819","0.1050","0.001590"," 157","0.038","0.100"
"504"," 564","0.0718","0.0822","0.0926","0.008090"," 799","0.074","0.110"
"191"," 251","0.0546","0.0825","0.1100","0.001050"," 104","0.032","0.100"
"147"," 207","0.0534","0.0826","0.1120","0.000860","  85","0.026","0.095"
"498"," 558","0.0455","0.0830","0.1200","0.000860","  85","0.074","0.140"
"501"," 561","0.0668","0.0830","0.0993","0.003840"," 379","0.074","0.125"
"514"," 574","0.0579","0.0832","0.1080","0.001860"," 184","0.076","0.135"
"234"," 294","0.0543","0.0833","0.1120","0.001080"," 107","0.038","0.110"
"176"," 236","0.0538","0.0836","0.1130","0.000870","  86","0.030","0.100"
"148"," 208","0.0615","0.0849","0.1080","0.001120"," 111","0.026","0.090"
"484"," 544","0.0591","0.0867","0.1140","0.001480"," 146","0.072","0.135"
"161"," 221","0.0593","0.0893","0.1190","0.000800","  79","0.028","0.100"
"499"," 559","0.0659","0.0910","0.1160","0.001700"," 168","0.074","0.135"
"145"," 205","0.0582","0.0928","0.1270","0.000617","  61","0.026","0.105"
"146"," 206","0.0633","0.0943","0.1250","0.000709","  70","0.026","0.100"
