"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"875"," 990","0.0604","0.0631","0.0659","0.102000","10077","0.130","0.080"
"958","1079","0.0602","0.0632","0.0661","0.102000","10054","0.142","0.085"
"889","1005","0.0607","0.0634","0.0662","0.106000","10448","0.132","0.080"
"944","1064","0.0605","0.0635","0.0665","0.097800"," 9665","0.140","0.085"
"957","1078","0.0605","0.0635","0.0666","0.097000"," 9582","0.142","0.090"
"1067","1196","0.0601","0.0635","0.0668","0.093600"," 9248","0.158","0.100"
"1095","1226","0.0603","0.0635","0.0667","0.099700"," 9847","0.162","0.100"
"943","1063","0.0607","0.0638","0.0669","0.093200"," 9207","0.140","0.090"
"819"," 930","0.0611","0.0641","0.0671","0.086900"," 8585","0.122","0.080"
"916","1034","0.0610","0.0641","0.0672","0.090700"," 8959","0.136","0.085"
"930","1049","0.0610","0.0641","0.0671","0.094300"," 9320","0.138","0.085"
"929","1048","0.0613","0.0644","0.0676","0.089800"," 8874","0.138","0.090"
"915","1033","0.0613","0.0645","0.0677","0.086300"," 8525","0.136","0.090"
"902","1019","0.0615","0.0647","0.0678","0.087500"," 8640","0.134","0.085"
"888","1004","0.0620","0.0652","0.0684","0.084500"," 8346","0.132","0.085"
"859"," 973","0.0618","0.0653","0.0687","0.073900"," 7305","0.128","0.090"
"873"," 988","0.0620","0.0654","0.0687","0.077200"," 7625","0.130","0.090"
"735"," 840","0.0623","0.0656","0.0689","0.067300"," 6645","0.110","0.080"
"914","1032","0.0619","0.0656","0.0693","0.069900"," 6909","0.136","0.095"
"969","1091","0.0618","0.0656","0.0693","0.073300"," 7238","0.144","0.100"
"887","1003","0.0624","0.0657","0.0690","0.080300"," 7937","0.132","0.090"
"831"," 943","0.0624","0.0660","0.0696","0.068100"," 6728","0.124","0.090"
"900","1017","0.0623","0.0661","0.0699","0.067200"," 6638","0.134","0.095"
"818"," 929","0.0628","0.0663","0.0698","0.068600"," 6781","0.122","0.085"
"955","1076","0.0626","0.0664","0.0702","0.070400"," 6958","0.142","0.100"
"804"," 914","0.0630","0.0666","0.0701","0.065800"," 6500","0.120","0.085"
"817"," 928","0.0633","0.0669","0.0705","0.065100"," 6435","0.122","0.090"
"941","1061","0.0630","0.0669","0.0707","0.067400"," 6658","0.140","0.100"
"886","1002","0.0633","0.0671","0.0709","0.064900"," 6408","0.132","0.095"
"927","1046","0.0634","0.0673","0.0713","0.064700"," 6390","0.138","0.100"
"748"," 854","0.0635","0.0674","0.0712","0.054900"," 5420","0.112","0.085"
"913","1031","0.0635","0.0675","0.0715","0.062100"," 6131","0.136","0.100"
"761"," 868","0.0637","0.0676","0.0716","0.054500"," 5385","0.114","0.090"
"899","1016","0.0641","0.0681","0.0722","0.059500"," 5882","0.134","0.100"
"857"," 971","0.0649","0.0692","0.0735","0.052500"," 5190","0.128","0.100"
"871"," 986","0.0651","0.0693","0.0735","0.055000"," 5433","0.130","0.100"
"885","1001","0.0652","0.0693","0.0734","0.057400"," 5668","0.132","0.100"
"843"," 956","0.0650","0.0694","0.0737","0.050200"," 4961","0.126","0.100"
"829"," 941","0.0658","0.0703","0.0747","0.048100"," 4755","0.124","0.100"
"815"," 926","0.0668","0.0713","0.0759","0.045900"," 4539","0.122","0.100"
"801"," 911","0.0670","0.0716","0.0762","0.043800"," 4326","0.120","0.100"
"773"," 881","0.0674","0.0723","0.0771","0.039900"," 3938","0.116","0.100"
"759"," 866","0.0679","0.0728","0.0777","0.038000"," 3750","0.114","0.100"
"745"," 851","0.0678","0.0729","0.0779","0.036000"," 3555","0.112","0.100"
"703"," 806","0.0676","0.0730","0.0785","0.030700"," 3034","0.106","0.100"
"799"," 909","0.0675","0.0730","0.0785","0.032900"," 3249","0.120","0.110"
"717"," 821","0.0681","0.0734","0.0787","0.032400"," 3203","0.108","0.100"
"770"," 878","0.0674","0.0734","0.0794","0.027800"," 2745","0.116","0.115"
"771"," 879","0.0679","0.0736","0.0793","0.029900"," 2952","0.116","0.110"
"689"," 791","0.0688","0.0744","0.0799","0.028700"," 2839","0.104","0.100"
"756"," 863","0.0687","0.0748","0.0809","0.026300"," 2599","0.114","0.115"
"757"," 864","0.0690","0.0749","0.0807","0.028300"," 2797","0.114","0.110"
"743"," 849","0.0690","0.0750","0.0810","0.026800"," 2650","0.112","0.110"
"742"," 848","0.0689","0.0752","0.0815","0.025000"," 2465","0.112","0.115"
"714"," 818","0.0686","0.0753","0.0819","0.022300"," 2206","0.108","0.115"
"647"," 746","0.0695","0.0755","0.0816","0.024000"," 2375","0.098","0.100"
"661"," 761","0.0701","0.0759","0.0818","0.025500"," 2524","0.100","0.100"
"675"," 776","0.0702","0.0759","0.0816","0.027100"," 2674","0.102","0.100"
"633"," 731","0.0701","0.0763","0.0825","0.022700"," 2240","0.096","0.100"
"619"," 716","0.0707","0.0770","0.0834","0.021400"," 2115","0.094","0.100"
"645"," 744","0.0700","0.0772","0.0845","0.017700"," 1749","0.098","0.110"
"659"," 759","0.0708","0.0778","0.0849","0.018800"," 1855","0.100","0.110"
"673"," 774","0.0710","0.0779","0.0847","0.019900"," 1966","0.102","0.110"
"672"," 773","0.0715","0.0786","0.0858","0.018400"," 1815","0.102","0.115"
"658"," 758","0.0714","0.0787","0.0861","0.017300"," 1711","0.100","0.115"
"617"," 714","0.0711","0.0788","0.0865","0.015800"," 1561","0.094","0.110"
"602"," 698","0.0713","0.0796","0.0878","0.013600"," 1347","0.092","0.115"
"616"," 713","0.0720","0.0799","0.0879","0.014500"," 1437","0.094","0.115"
"507"," 596","0.0724","0.0805","0.0885","0.012400"," 1224","0.078","0.100"
"493"," 581","0.0728","0.0811","0.0895","0.011500"," 1140","0.076","0.100"
"479"," 566","0.0729","0.0814","0.0900","0.010800"," 1065","0.074","0.100"
"489"," 577","0.0681","0.0814","0.0947","0.005540","  547","0.076","0.120"
"463"," 549","0.0706","0.0815","0.0925","0.007270","  718","0.072","0.110"
"505"," 594","0.0717","0.0816","0.0915","0.008970","  886","0.078","0.110"
"491"," 579","0.0723","0.0825","0.0928","0.008390","  829","0.076","0.110"
"475"," 562","0.0691","0.0826","0.0961","0.005200","  514","0.074","0.120"
"502"," 591","0.0669","0.0826","0.0983","0.004170","  412","0.078","0.125"
"488"," 576","0.0669","0.0831","0.0994","0.003840","  379","0.076","0.125"
"477"," 564","0.0730","0.0834","0.0939","0.007820","  773","0.074","0.110"
"474"," 561","0.0694","0.0858","0.1020","0.003570","  353","0.074","0.125"
"473"," 560","0.0640","0.0862","0.1080","0.002170","  214","0.074","0.130"
"486"," 574","0.0608","0.0877","0.1150","0.001560","  154","0.076","0.135"
"458"," 544","0.0706","0.0986","0.1270","0.001280","  126","0.072","0.135"
"472"," 559","0.0734","0.0994","0.1250","0.001440","  142","0.074","0.135"
"471"," 558","0.0584","0.0997","0.1410","0.000597","   59","0.074","0.140"
