"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"89"," 0.06896063"," 0.0774302","0.085900","7.5815e-03","0.010","0.130"
"90"," 0.06803810"," 0.0759330","0.083828","8.5492e-03","0.010","0.125"
"91"," 0.06896937"," 0.0759613","0.082953","1.0161e-02","0.010","0.120"
"92"," 0.07015786"," 0.0765264","0.082895","1.1616e-02","0.010","0.115"
"93"," 0.06935845"," 0.0754658","0.081573","1.2500e-02","0.010","0.110"
"97","-0.18473973"," 0.0874337","0.359607","1.4552e-05","0.015","0.245"
"98","-0.09051143"," 0.0876907","0.265893","2.5466e-05","0.015","0.240"
"99","-0.11524994"," 0.0518882","0.219026","3.6380e-05","0.015","0.235"
"100"," 0.03338571"," 0.1250600","0.216734","1.0186e-04","0.015","0.230"
"101","-0.00140453"," 0.0821794","0.165763","1.4916e-04","0.015","0.225"
"102"," 0.01028057"," 0.0750979","0.139915","2.6557e-04","0.015","0.220"
"103"," 0.02773946"," 0.0807520","0.133764","3.7835e-04","0.015","0.215"
"104"," 0.03248988"," 0.0793351","0.126180","4.8749e-04","0.015","0.210"
"105"," 0.05505882"," 0.0950037","0.134949","6.0026e-04","0.015","0.205"
"106"," 0.05085893"," 0.0860705","0.121282","7.6397e-04","0.015","0.200"
"107"," 0.06152010"," 0.0906934","0.119867","1.0477e-03","0.015","0.195"
"108"," 0.06014861"," 0.0854040","0.110659","1.3751e-03","0.015","0.190"
"109"," 0.05762161"," 0.0794580","0.101294","1.8044e-03","0.015","0.185"
"110"," 0.06773126"," 0.0861224","0.104514","2.3210e-03","0.015","0.180"
"111"," 0.07800682"," 0.0934617","0.108917","2.9868e-03","0.015","0.175"
"112"," 0.07823072"," 0.0924599","0.106689","3.4233e-03","0.015","0.170"
"113"," 0.07794140"," 0.0914152","0.104889","3.7580e-03","0.015","0.165"
"114"," 0.07424001"," 0.0866332","0.099026","4.3910e-03","0.015","0.160"
"115"," 0.07137288"," 0.0826330","0.093893","5.1914e-03","0.015","0.155"
"116"," 0.07341753"," 0.0835644","0.093711","6.0681e-03","0.015","0.150"
"117"," 0.07357426"," 0.0829429","0.092311","6.8976e-03","0.015","0.145"
"118"," 0.07590172"," 0.0838940","0.091886","8.7529e-03","0.015","0.140"
"119"," 0.07413400"," 0.0814141","0.088694","1.0343e-02","0.015","0.135"
"120"," 0.07254506"," 0.0791957","0.085846","1.2111e-02","0.015","0.130"
"121"," 0.07194357"," 0.0781242","0.084305","1.3671e-02","0.015","0.125"
"122"," 0.07207550"," 0.0775711","0.083067","1.6236e-02","0.015","0.120"
"123"," 0.07351162"," 0.0785124","0.083513","1.8521e-02","0.015","0.115"
"124"," 0.07327221"," 0.0780395","0.082807","1.9958e-02","0.015","0.110"
"126","-0.16957785"," 0.2557000","0.425278","3.6380e-06","0.020","0.255"
"127","-0.16957785"," 0.2557000","0.425278","3.6380e-06","0.020","0.250"
"128","-0.04495521"," 0.0957132","0.236382","5.4569e-05","0.020","0.245"
"129","-0.05774848"," 0.0590494","0.175847","9.0949e-05","0.020","0.240"
