"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"77"," 0.06840","0.0734","6.26e-03"," 3324","0.0450","0.090","0.140"
"79"," 0.08040","0.1030","3.47e-04","  184","0.0475","0.135","0.140"
"80"," 0.06450","0.0834","6.89e-04","  366","0.0475","0.130","0.140"
"81"," 0.07660","0.0889","1.35e-03","  716","0.0475","0.125","0.140"
"82"," 0.07850","0.0890","1.71e-03","  910","0.0475","0.120","0.140"
"83"," 0.08220","0.0909","2.33e-03"," 1239","0.0475","0.115","0.140"
"84"," 0.07950","0.0872","2.99e-03"," 1585","0.0475","0.110","0.140"
"85"," 0.07600","0.0826","4.03e-03"," 2142","0.0475","0.105","0.140"
"86"," 0.07710","0.0832","4.47e-03"," 2375","0.0475","0.100","0.140"
"87"," 0.07240","0.0778","5.64e-03"," 2996","0.0475","0.095","0.140"
"88"," 0.07020","0.0747","7.49e-03"," 3978","0.0475","0.090","0.140"
"90"," 0.08390","0.1040","4.31e-04","  229","0.0500","0.135","0.140"
"91"," 0.06760","0.0844","8.34e-04","  443","0.0500","0.130","0.140"
"92"," 0.07650","0.0878","1.60e-03","  852","0.0500","0.125","0.140"
"93"," 0.07840","0.0881","2.06e-03"," 1094","0.0500","0.120","0.140"
"94"," 0.08200","0.0900","2.82e-03"," 1497","0.0500","0.115","0.140"
"95"," 0.08030","0.0873","3.60e-03"," 1910","0.0500","0.110","0.140"
"96"," 0.07820","0.0841","4.85e-03"," 2574","0.0500","0.105","0.140"
"97"," 0.07770","0.0832","5.37e-03"," 2849","0.0500","0.100","0.140"
"98"," 0.07360","0.0785","6.75e-03"," 3586","0.0500","0.095","0.140"
"99"," 0.07080","0.0749","8.92e-03"," 4738","0.0500","0.090","0.140"
"101"," 0.08710","0.1060","5.10e-04","  271","0.0525","0.135","0.140"
"102"," 0.07160","0.0868","9.96e-04","  529","0.0525","0.130","0.140"
"103"," 0.07690","0.0874","1.90e-03"," 1010","0.0525","0.125","0.140"
"104"," 0.07700","0.0860","2.46e-03"," 1304","0.0525","0.120","0.140"
"105"," 0.08010","0.0874","3.36e-03"," 1782","0.0525","0.115","0.140"
"106"," 0.07970","0.0861","4.29e-03"," 2278","0.0525","0.110","0.140"
"107"," 0.07740","0.0828","5.79e-03"," 3075","0.0525","0.105","0.140"
"108"," 0.07740","0.0825","6.38e-03"," 3390","0.0525","0.100","0.140"
"109"," 0.07330","0.0779","7.97e-03"," 4231","0.0525","0.095","0.140"
"110"," 0.07090","0.0747","1.05e-02"," 5584","0.0525","0.090","0.140"
"112"," 0.08610","0.1040","5.82e-04","  309","0.0550","0.135","0.140"
"113"," 0.07480","0.0887","1.16e-03","  617","0.0550","0.130","0.140"
"114"," 0.07790","0.0875","2.23e-03"," 1185","0.0550","0.125","0.140"
"115"," 0.07810","0.0864","2.88e-03"," 1528","0.0550","0.120","0.140"
"116"," 0.07980","0.0866","3.99e-03"," 2117","0.0550","0.115","0.140"
"117"," 0.07910","0.0850","5.05e-03"," 2683","0.0550","0.110","0.140"
"118"," 0.07690","0.0820","6.78e-03"," 3601","0.0550","0.105","0.140"
"119"," 0.07670","0.0815","7.47e-03"," 3968","0.0550","0.100","0.140"
"120"," 0.07240","0.0766","9.35e-03"," 4963","0.0550","0.095","0.140"
"121"," 0.07030","0.0738","1.23e-02"," 6513","0.0550","0.090","0.140"
"123"," 0.08390","0.1000","6.89e-04","  366","0.0575","0.135","0.140"
"124"," 0.07740","0.0900","1.38e-03","  731","0.0575","0.130","0.140"
"125"," 0.08010","0.0890","2.60e-03"," 1382","0.0575","0.125","0.140"
"126"," 0.07990","0.0875","3.35e-03"," 1778","0.0575","0.120","0.140"
"127"," 0.08050","0.0867","4.65e-03"," 2468","0.0575","0.115","0.140"
"128"," 0.08000","0.0854","5.89e-03"," 3127","0.0575","0.110","0.140"
