"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"3459","0.0773","0.0819","0.01120"," 5930","0.0725","0.120","0.185"
"3802","0.0779","0.0819","0.01320"," 6992","0.0675","0.110","0.190"
"3096","0.0774","0.0820","0.01100"," 5848","0.0725","0.120","0.180"
"3065","0.0778","0.0821","0.01130"," 5982","0.0650","0.110","0.180"
"3791","0.0779","0.0822","0.01150"," 6086","0.0650","0.110","0.190"
"3438","0.0782","0.0827","0.01100"," 5823","0.0675","0.115","0.185"
"3075","0.0783","0.0828","0.01090"," 5761","0.0675","0.115","0.180"
"2671","0.0787","0.0829","0.01000"," 5332","0.0575","0.100","0.175"
"3397","0.0787","0.0829","0.01020"," 5442","0.0575","0.100","0.185"
"3780","0.0784","0.0829","0.01000"," 5333","0.0625","0.110","0.190"
"3801","0.0786","0.0831","0.01110"," 5878","0.0675","0.115","0.190"
"3760","0.0791","0.0833","0.01030"," 5473","0.0575","0.100","0.190"
"3034","0.0792","0.0834","0.01020"," 5409","0.0575","0.100","0.180"
"3085","0.0788","0.0837","0.00981"," 5211","0.0700","0.120","0.180"
"3448","0.0788","0.0837","0.00995"," 5282","0.0700","0.120","0.185"
"3447","0.0784","0.0838","0.00853"," 4530","0.0700","0.125","0.185"
"3749","0.0794","0.0839","0.00887"," 4711","0.0550","0.100","0.190"
"2660","0.0795","0.0840","0.00865"," 4594","0.0550","0.100","0.175"
"3759","0.0796","0.0840","0.00953"," 5061","0.0575","0.105","0.190"
"3811","0.0792","0.0840","0.01010"," 5346","0.0700","0.120","0.190"
"3033","0.0797","0.0841","0.00941"," 4997","0.0575","0.105","0.180"
"3023","0.0797","0.0842","0.00877"," 4656","0.0550","0.100","0.180"
"3810","0.0789","0.0842","0.00865"," 4594","0.0700","0.125","0.190"
"3437","0.0799","0.0851","0.00876"," 4652","0.0675","0.120","0.185"
"3073","0.0795","0.0852","0.00740"," 3930","0.0675","0.125","0.180"
"3074","0.0801","0.0852","0.00864"," 4590","0.0675","0.120","0.180"
"3375","0.0804","0.0853","0.00750"," 3981","0.0525","0.100","0.185"
"2286","0.0805","0.0854","0.00729"," 3870","0.0525","0.100","0.170"
"3799","0.0798","0.0855","0.00762"," 4047","0.0675","0.125","0.190"
"3800","0.0804","0.0855","0.00886"," 4707","0.0675","0.120","0.190"
"3395","0.0805","0.0856","0.00742"," 3938","0.0575","0.110","0.185"
"3426","0.0801","0.0856","0.00760"," 4035","0.0650","0.120","0.185"
"3738","0.0807","0.0856","0.00754"," 4004","0.0525","0.100","0.190"
"2669","0.0806","0.0858","0.00721"," 3828","0.0575","0.110","0.175"
"2649","0.0811","0.0859","0.00735"," 3900","0.0525","0.100","0.175"
"3012","0.0811","0.0859","0.00745"," 3956","0.0525","0.100","0.180"
"3789","0.0804","0.0859","0.00769"," 4083","0.0650","0.120","0.190"
"3063","0.0804","0.0860","0.00749"," 3979","0.0650","0.120","0.180"
"3758","0.0810","0.0862","0.00748"," 3969","0.0575","0.110","0.190"
"3032","0.0811","0.0863","0.00735"," 3905","0.0575","0.110","0.180"
