"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"74"," 0.08130"," 0.08810","3.36e-03"," 1786","0.0450","0.105","0.140"
"75"," 0.08130"," 0.08770","3.73e-03"," 1981","0.0450","0.100","0.140"
"76"," 0.07670"," 0.08230","4.69e-03"," 2489","0.0450","0.095","0.140"
"77"," 0.07460"," 0.07930","6.18e-03"," 3281","0.0450","0.090","0.140"
"79"," 0.08680"," 0.10900","3.75e-04","  199","0.0475","0.135","0.140"
"80"," 0.07220"," 0.08980","7.06e-04","  375","0.0475","0.130","0.140"
"81"," 0.07750"," 0.08960","1.35e-03","  716","0.0475","0.125","0.140"
"82"," 0.07880"," 0.08920","1.71e-03","  909","0.0475","0.120","0.140"
"83"," 0.08060"," 0.08920","2.36e-03"," 1254","0.0475","0.115","0.140"
"84"," 0.08150"," 0.08890","3.00e-03"," 1595","0.0475","0.110","0.140"
"85"," 0.07890"," 0.08520","4.06e-03"," 2158","0.0475","0.105","0.140"
"86"," 0.07850"," 0.08450","4.49e-03"," 2386","0.0475","0.100","0.140"
"87"," 0.07500"," 0.08030","5.63e-03"," 2988","0.0475","0.095","0.140"
"88"," 0.07290"," 0.07730","7.39e-03"," 3925","0.0475","0.090","0.140"
"90"," 0.08120"," 0.10200","4.43e-04","  235","0.0500","0.135","0.140"
"91"," 0.07600"," 0.09170","8.57e-04","  455","0.0500","0.130","0.140"
"92"," 0.08100"," 0.09180","1.63e-03","  865","0.0500","0.125","0.140"
"93"," 0.08250"," 0.09180","2.07e-03"," 1097","0.0500","0.120","0.140"
"94"," 0.08440"," 0.09200","2.85e-03"," 1515","0.0500","0.115","0.140"
"95"," 0.08440"," 0.09110","3.62e-03"," 1921","0.0500","0.110","0.140"
"96"," 0.08100"," 0.08670","4.87e-03"," 2588","0.0500","0.105","0.140"
"97"," 0.08050"," 0.08580","5.38e-03"," 2859","0.0500","0.100","0.140"
"98"," 0.07620"," 0.08100","6.72e-03"," 3569","0.0500","0.095","0.140"
"99"," 0.07360"," 0.07770","8.83e-03"," 4687","0.0500","0.090","0.140"
"101"," 0.08510"," 0.10400","5.14e-04","  273","0.0525","0.135","0.140"
"102"," 0.08180"," 0.09580","1.00e-03","  533","0.0525","0.130","0.140"
"103"," 0.07630"," 0.08660","1.92e-03"," 1017","0.0525","0.125","0.140"
"104"," 0.08000"," 0.08870","2.44e-03"," 1294","0.0525","0.120","0.140"
"105"," 0.08180"," 0.08900","3.37e-03"," 1791","0.0525","0.115","0.140"
"106"," 0.08190"," 0.08820","4.26e-03"," 2263","0.0525","0.110","0.140"
"107"," 0.07930"," 0.08460","5.74e-03"," 3050","0.0525","0.105","0.140"
"108"," 0.07890"," 0.08390","6.34e-03"," 3366","0.0525","0.100","0.140"
"109"," 0.07520"," 0.07960","7.92e-03"," 4207","0.0525","0.095","0.140"
"110"," 0.07260"," 0.07640","1.04e-02"," 5502","0.0525","0.090","0.140"
"112"," 0.07100"," 0.09000","6.10e-04","  324","0.0550","0.135","0.140"
"113"," 0.06990"," 0.08380","1.18e-03","  627","0.0550","0.130","0.140"
"114"," 0.07220"," 0.08190","2.26e-03"," 1200","0.0550","0.125","0.140"
"115"," 0.07630"," 0.08450","2.88e-03"," 1529","0.0550","0.120","0.140"
"116"," 0.07750"," 0.08430","3.98e-03"," 2115","0.0550","0.115","0.140"
"117"," 0.07880"," 0.08460","5.04e-03"," 2675","0.0550","0.110","0.140"
"118"," 0.07770"," 0.08260","6.81e-03"," 3615","0.0550","0.105","0.140"
"119"," 0.07740"," 0.08200","7.48e-03"," 3973","0.0550","0.100","0.140"
"120"," 0.07430"," 0.07830","9.35e-03"," 4966","0.0550","0.095","0.140"
"121"," 0.07180"," 0.07530","1.22e-02"," 6475","0.0550","0.090","0.140"
"123"," 0.07230"," 0.09000","7.02e-04","  373","0.0575","0.135","0.140"
"124"," 0.06710"," 0.08030","1.38e-03","  731","0.0575","0.130","0.140"
"125"," 0.07230"," 0.08140","2.61e-03"," 1385","0.0575","0.125","0.140"
"126"," 0.07590"," 0.08360","3.33e-03"," 1770","0.0575","0.120","0.140"
"127"," 0.07700"," 0.08330","4.63e-03"," 2458","0.0575","0.115","0.140"
"128"," 0.07750"," 0.08300","5.85e-03"," 3106","0.0575","0.110","0.140"
"129"," 0.07660"," 0.08130","7.91e-03"," 4198","0.0575","0.105","0.140"
"130"," 0.07630"," 0.08060","8.68e-03"," 4610","0.0575","0.100","0.140"
"131"," 0.07280"," 0.07670","1.08e-02"," 5738","0.0575","0.095","0.140"
"132"," 0.07080"," 0.07410","1.41e-02"," 7482","0.0575","0.090","0.140"
"134"," 0.07310"," 0.08960","8.34e-04","  443","0.0600","0.135","0.140"
"135"," 0.06690"," 0.07930","1.61e-03","  853","0.0600","0.130","0.140"
"136"," 0.07180"," 0.08040","3.04e-03"," 1615","0.0600","0.125","0.140"
"137"," 0.07450"," 0.08180","3.88e-03"," 2062","0.0600","0.120","0.140"
"138"," 0.07490"," 0.08090","5.40e-03"," 2866","0.0600","0.115","0.140"
"139"," 0.07510"," 0.08030","6.84e-03"," 3630","0.0600","0.110","0.140"
"140"," 0.07510"," 0.07950","9.22e-03"," 4894","0.0600","0.105","0.140"
"141"," 0.07500"," 0.07900","1.01e-02"," 5376","0.0600","0.100","0.140"
"142"," 0.07180"," 0.07540","1.25e-02"," 6653","0.0600","0.095","0.140"
"143"," 0.07010"," 0.07310","1.63e-02"," 8667","0.0600","0.090","0.140"
"145"," 0.07570"," 0.09080","9.53e-04","  506","0.0625","0.135","0.140"
"146"," 0.07180"," 0.08300","1.86e-03","  985","0.0625","0.130","0.140"
"147"," 0.07500"," 0.08280","3.52e-03"," 1869","0.0625","0.125","0.140"
"148"," 0.07700"," 0.08370","4.48e-03"," 2377","0.0625","0.120","0.140"
"149"," 0.07520"," 0.08080","6.19e-03"," 3289","0.0625","0.115","0.140"
"150"," 0.07520"," 0.08000","7.82e-03"," 4154","0.0625","0.110","0.140"
"151"," 0.07520"," 0.07930","1.05e-02"," 5600","0.0625","0.105","0.140"
"152"," 0.07510"," 0.07890","1.16e-02"," 6140","0.0625","0.100","0.140"
"153"," 0.07220"," 0.07560","1.43e-02"," 7585","0.0625","0.095","0.140"
"154"," 0.07020"," 0.07310","1.86e-02"," 9862","0.0625","0.090","0.140"
"156"," 0.07600"," 0.09020","1.10e-03","  582","0.0650","0.135","0.140"
"157"," 0.07050"," 0.08110","2.11e-03"," 1121","0.0650","0.130","0.140"
"158"," 0.07480"," 0.08210","4.07e-03"," 2159","0.0650","0.125","0.140"
"159"," 0.07730"," 0.08360","5.15e-03"," 2735","0.0650","0.120","0.140"
