"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"97","-0.02539758"," 0.0514649","0.128327","2.8069e-04","0.040","0.230"
"98","-0.01730679"," 0.0487497","0.114806","3.8985e-04","0.040","0.225"
"99"," 0.01583259"," 0.0691604","0.122488","5.7179e-04","0.040","0.220"
"100"," 0.02089038"," 0.0644383","0.107986","8.3169e-04","0.040","0.215"
"101"," 0.03564793"," 0.0705793","0.105511","1.2267e-03","0.040","0.210"
"102"," 0.04873670"," 0.0795497","0.110363","1.5334e-03","0.040","0.205"
"103"," 0.05265067"," 0.0788547","0.105059","2.0792e-03","0.040","0.200"
"104"," 0.06092443"," 0.0815194","0.102114","3.0772e-03","0.040","0.195"
"105"," 0.06187260"," 0.0789797","0.096087","4.3456e-03","0.040","0.190"
"107","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.045","0.255"
"108","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.045","0.250"
"109","-0.12777686"," 0.0410202","0.209817","6.2377e-05","0.045","0.245"
"110","-0.04736043"," 0.0800746","0.207510","8.8367e-05","0.045","0.240"
"111","-0.05316840"," 0.0515896","0.156348","1.6114e-04","0.045","0.235"
"112","-0.00040919"," 0.0663082","0.133026","3.3787e-04","0.045","0.230"
"113"," 0.00087699"," 0.0603158","0.119755","4.4703e-04","0.045","0.225"
"114"," 0.03336849"," 0.0814346","0.129501","6.5495e-04","0.045","0.220"
"115"," 0.03750901"," 0.0767374","0.115966","9.5644e-04","0.045","0.215"
"116"," 0.04572407"," 0.0774897","0.109255","1.4139e-03","0.045","0.210"
"117"," 0.05720608"," 0.0854064","0.113607","1.7465e-03","0.045","0.205"
"118"," 0.05901271"," 0.0830062","0.107000","2.3859e-03","0.045","0.200"
"119"," 0.06722641"," 0.0862192","0.105212","3.5191e-03","0.045","0.195"
"120"," 0.06748212"," 0.0832545","0.099027","4.9641e-03","0.045","0.190"
"122","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.050","0.255"
"123","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.050","0.250"
"124","-0.10163286"," 0.0570878","0.215809","6.7575e-05","0.050","0.245"
"125","-0.03291425"," 0.0895094","0.211933","9.3565e-05","0.050","0.240"
"126","-0.03485467"," 0.0605869","0.156028","2.0272e-04","0.050","0.235"
"127"," 0.01346214"," 0.0759400","0.138418","3.9505e-04","0.050","0.230"
"128"," 0.01569866"," 0.0692543","0.122810","5.4060e-04","0.050","0.225"
"129"," 0.03692026"," 0.0809652","0.125010","7.9530e-04","0.050","0.220"
"130"," 0.02591602"," 0.0629447","0.099973","1.1644e-03","0.050","0.215"
"131"," 0.03896716"," 0.0682757","0.097584","1.7309e-03","0.050","0.210"
"132"," 0.04907885"," 0.0751313","0.101184","2.1364e-03","0.050","0.205"
"133"," 0.05278964"," 0.0749936","0.097198","2.9161e-03","0.050","0.200"
"134"," 0.06229051"," 0.0798845","0.097478","4.2416e-03","0.050","0.195"
"135"," 0.06212335"," 0.0768063","0.091489","5.9518e-03","0.050","0.190"
"137","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.055","0.255"
"138","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.055","0.250"
"139","-0.10163286"," 0.0570878","0.215809","6.7575e-05","0.055","0.245"
"140","-0.02029342"," 0.0974720","0.215237","9.8763e-05","0.055","0.240"
"141","-0.02246264"," 0.0692997","0.161062","2.1312e-04","0.055","0.235"
"142"," 0.02117143"," 0.0811082","0.141045","4.1584e-04","0.055","0.230"
"143"," 0.02026481"," 0.0715418","0.122819","5.7179e-04","0.055","0.225"
"144"," 0.04362357"," 0.0855677","0.127512","8.4728e-04","0.055","0.220"
"145"," 0.02952644"," 0.0652058","0.100885","1.2267e-03","0.055","0.215"
"146"," 0.04315579"," 0.0712692","0.099383","1.8505e-03","0.055","0.210"
"147"," 0.05555550"," 0.0803118","0.105068","2.3079e-03","0.055","0.205"
"148"," 0.05793980"," 0.0788081","0.099676","3.1968e-03","0.055","0.200"
"149"," 0.06734908"," 0.0838909","0.100433","4.6419e-03","0.055","0.195"
"150"," 0.06476007"," 0.0786583","0.092557","6.5132e-03","0.055","0.190"
"152","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.060","0.255"
"153","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.060","0.250"
"154","-0.03049899"," 0.0984520","0.227403","8.8367e-05","0.060","0.245"
"155"," 0.04032581"," 0.1348428","0.229360","1.3515e-04","0.060","0.240"
"156"," 0.02453853"," 0.1020692","0.179600","2.6510e-04","0.060","0.235"
"157"," 0.05078579"," 0.1040543","0.157323","4.8862e-04","0.060","0.230"
"158"," 0.03993518"," 0.0866545","0.133374","6.6015e-04","0.060","0.225"
"159"," 0.05832658"," 0.0966251","0.134924","9.7203e-04","0.060","0.220"
"160"," 0.04383393"," 0.0763930","0.108952","1.4035e-03","0.060","0.215"
"161"," 0.05898094"," 0.0842120","0.109443","2.1624e-03","0.060","0.210"
"162"," 0.06299000"," 0.0855592","0.108128","2.7030e-03","0.060","0.205"
"163"," 0.06219553"," 0.0812998","0.100404","3.7114e-03","0.060","0.200"
"164"," 0.06729743"," 0.0827322","0.098167","5.3540e-03","0.060","0.195"
"165"," 0.06430440"," 0.0771729","0.090041","7.5943e-03","0.060","0.190"
"167","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.065","0.255"
"168","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.065","0.250"
"169","-0.00517974"," 0.1138781","0.232936","9.8763e-05","0.065","0.245"
"170"," 0.06317759"," 0.1492504","0.235323","1.5594e-04","0.065","0.240"
"171"," 0.04825100"," 0.1187264","0.189202","3.0149e-04","0.065","0.235"
"172"," 0.07431417"," 0.1222725","0.170231","5.6659e-04","0.065","0.230"
"173"," 0.06046753"," 0.1033477","0.146228","7.4332e-04","0.065","0.225"
"174"," 0.06544645"," 0.1016105","0.137775","1.0864e-03","0.065","0.220"
"175"," 0.05255526"," 0.0831551","0.113755","1.5646e-03","0.065","0.215"
"176"," 0.06615618"," 0.0896749","0.113194","2.4223e-03","0.065","0.210"
"177"," 0.06888235"," 0.0900475","0.111213","3.0097e-03","0.065","0.205"
"178"," 0.06582994"," 0.0838798","0.101930","4.1169e-03","0.065","0.200"
"179"," 0.06920958"," 0.0838546","0.098500","5.9362e-03","0.065","0.195"
"180"," 0.06650929"," 0.0787432","0.090977","8.3637e-03","0.065","0.190"
"182","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.070","0.255"
"183","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.070","0.250"
"184"," 0.03244852"," 0.1366819","0.240915","1.1956e-04","0.070","0.245"
"185"," 0.05964688"," 0.1408570","0.222067","1.8193e-04","0.070","0.240"
"186"," 0.06413130"," 0.1264436","0.188756","3.6386e-04","0.070","0.235"
"187"," 0.08163749"," 0.1256739","0.169710","6.4976e-04","0.070","0.230"
"188"," 0.06524083"," 0.1051428","0.145045","8.4208e-04","0.070","0.225"
"189"," 0.06177436"," 0.0956044","0.129434","1.2319e-03","0.070","0.220"
"190"," 0.05331315"," 0.0816451","0.109977","1.7829e-03","0.070","0.215"
"191"," 0.07006852"," 0.0917883","0.113508","2.7550e-03","0.070","0.210"
"192"," 0.07148266"," 0.0911774","0.110872","3.4463e-03","0.070","0.205"
"193"," 0.06640090"," 0.0832939","0.100187","4.7094e-03","0.070","0.200"
"194"," 0.07018360"," 0.0838374","0.097491","6.7731e-03","0.070","0.195"
"195"," 0.06644922"," 0.0779280","0.089407","9.5228e-03","0.070","0.190"
"197","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.075","0.255"
"198","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.075","0.250"
"199"," 0.05950365"," 0.1532142","0.246925","1.4035e-04","0.075","0.245"
"200"," 0.07607264"," 0.1518742","0.227676","2.0272e-04","0.075","0.240"
"201"," 0.07000222"," 0.1280692","0.186136","4.1584e-04","0.075","0.235"
"202"," 0.08830059"," 0.1296534","0.171006","7.2773e-04","0.075","0.230"
"203"," 0.06855528"," 0.1066134","0.144672","9.4085e-04","0.075","0.225"
"204"," 0.05993626"," 0.0924765","0.125017","1.3723e-03","0.075","0.220"
"205"," 0.05540849"," 0.0826243","0.109840","1.9545e-03","0.075","0.215"
"206"," 0.07225860"," 0.0931053","0.113952","2.9993e-03","0.075","0.210"
"207"," 0.07305613"," 0.0919589","0.110862","3.7322e-03","0.075","0.205"
"208"," 0.06934560"," 0.0854736","0.101602","5.0993e-03","0.075","0.200"
"209"," 0.07112801"," 0.0842227","0.097317","7.3344e-03","0.075","0.195"
"210"," 0.06816690"," 0.0791229","0.090079","1.0339e-02","0.075","0.190"
