"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"3781","0.0787","0.0825","0.01270"," 6761","0.0625","0.105","0.190"
"3812","0.0782","0.0825","0.01240"," 6577","0.0700","0.115","0.190"
"3802","0.0786","0.0826","0.01310"," 6941","0.0675","0.110","0.190"
"3045","0.0788","0.0827","0.01180"," 6273","0.0600","0.100","0.180"
"3771","0.0788","0.0827","0.01200"," 6355","0.0600","0.100","0.190"
"3065","0.0797","0.0839","0.01120"," 5970","0.0650","0.110","0.180"
"3428","0.0797","0.0839","0.01140"," 6032","0.0650","0.110","0.185"
"3075","0.0799","0.0844","0.01070"," 5701","0.0675","0.115","0.180"
"3438","0.0800","0.0844","0.01090"," 5772","0.0675","0.115","0.185"
"3791","0.0801","0.0844","0.01140"," 6077","0.0650","0.110","0.190"
"2691","0.0800","0.0845","0.00966"," 5127","0.0625","0.110","0.175"
"3801","0.0800","0.0845","0.01100"," 5824","0.0675","0.115","0.190"
"3033","0.0803","0.0847","0.00946"," 5021","0.0575","0.105","0.180"
"3085","0.0799","0.0847","0.00964"," 5116","0.0700","0.120","0.180"
"3417","0.0802","0.0847","0.00995"," 5281","0.0625","0.110","0.185"
"3054","0.0803","0.0848","0.00984"," 5223","0.0625","0.110","0.180"
"3448","0.0800","0.0848","0.00978"," 5191","0.0700","0.120","0.185"
"3811","0.0799","0.0848","0.00989"," 5253","0.0700","0.120","0.190"
"3780","0.0805","0.0850","0.01000"," 5317","0.0625","0.110","0.190"
"3064","0.0810","0.0857","0.00940"," 4993","0.0650","0.115","0.180"
"3427","0.0810","0.0857","0.00952"," 5055","0.0650","0.115","0.185"
"2690","0.0809","0.0859","0.00803"," 4263","0.0625","0.115","0.175"
"3406","0.0811","0.0859","0.00861"," 4574","0.0600","0.110","0.185"
"3074","0.0810","0.0861","0.00853"," 4530","0.0675","0.120","0.180"
"3043","0.0814","0.0862","0.00852"," 4525","0.0600","0.110","0.180"
"3416","0.0812","0.0862","0.00832"," 4417","0.0625","0.115","0.185"
"3437","0.0811","0.0862","0.00867"," 4601","0.0675","0.120","0.185"
"3769","0.0814","0.0862","0.00868"," 4607","0.0600","0.110","0.190"
"3800","0.0811","0.0862","0.00876"," 4653","0.0675","0.120","0.190"
"3053","0.0813","0.0863","0.00821"," 4359","0.0625","0.115","0.180"
"3790","0.0815","0.0863","0.00961"," 5100","0.0650","0.115","0.190"
"3073","0.0808","0.0865","0.00727"," 3862","0.0675","0.125","0.180"
"3436","0.0808","0.0865","0.00741"," 3933","0.0675","0.125","0.185"
"3779","0.0816","0.0866","0.00839"," 4453","0.0625","0.115","0.190"
"3799","0.0809","0.0866","0.00751"," 3985","0.0675","0.125","0.190"
"3426","0.0812","0.0867","0.00757"," 4019","0.0650","0.120","0.185"
"3063","0.0813","0.0868","0.00745"," 3957","0.0650","0.120","0.180"
"3768","0.0816","0.0870","0.00726"," 3853","0.0600","0.115","0.190"
"2669","0.0820","0.0871","0.00727"," 3858","0.0575","0.110","0.175"
"3395","0.0819","0.0871","0.00748"," 3972","0.0575","0.110","0.185"
"3758","0.0821","0.0873","0.00753"," 4000","0.0575","0.110","0.190"
"3789","0.0819","0.0874","0.00765"," 4064","0.0650","0.120","0.190"
"3032","0.0824","0.0875","0.00740"," 3927","0.0575","0.110","0.180"
