"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"226","0.059310","0.062957","0.066603","0.02678544","0.030","0.140"
"183","0.059680","0.062974","0.066269","0.03057184","0.024","0.130"
"234","0.061236","0.063024","0.064813","0.08387962","0.030","0.100"
"215","0.060623","0.063040","0.065458","0.05227732","0.028","0.120"
"248","0.061234","0.063043","0.064852","0.08434004","0.032","0.105"
"262","0.061160","0.063048","0.064936","0.08064353","0.034","0.110"
"197","0.059551","0.063052","0.066554","0.02801322","0.026","0.135"
"222","0.061465","0.063064","0.064663","0.09445611","0.028","0.085"
"247","0.061158","0.063113","0.065067","0.07523909","0.032","0.110"
"241","0.059637","0.063138","0.066638","0.02895818","0.032","0.140"
"184","0.060189","0.063175","0.066161","0.03582939","0.024","0.125"
"221","0.061503","0.063195","0.064886","0.08787431","0.028","0.090"
"233","0.061345","0.063220","0.065096","0.07831294","0.030","0.105"
"212","0.059936","0.063283","0.066630","0.03055869","0.028","0.135"
"193","0.061634","0.063299","0.064965","0.08357706","0.024","0.080"
"150","0.061644","0.063347","0.065050","0.07072698","0.018","0.070"
"200","0.060842","0.063360","0.065878","0.04800858","0.026","0.120"
"232","0.061342","0.063370","0.065397","0.06978641","0.030","0.110"
"216","0.061202","0.063405","0.065609","0.06024477","0.028","0.115"
"207","0.061832","0.063495","0.065158","0.08684823","0.026","0.085"
"75","0.060800","0.063510","0.066219","0.02713185","0.008","0.070"
"220","0.061747","0.063510","0.065273","0.08311664","0.028","0.095"
"219","0.061685","0.063542","0.065399","0.07736140","0.028","0.100"
"218","0.061665","0.063615","0.065565","0.07218497","0.028","0.105"
"185","0.061018","0.063655","0.066291","0.04359732","0.024","0.120"
"206","0.061898","0.063657","0.065416","0.08079262","0.026","0.090"
"149","0.061914","0.063667","0.065421","0.06819906","0.018","0.075"
"135","0.061870","0.063684","0.065499","0.06144844","0.016","0.070"
"178","0.061938","0.063685","0.065431","0.07551534","0.022","0.080"
"182","0.060029","0.063695","0.067361","0.02536472","0.024","0.135"
"15","0.055220","0.063743","0.072267","0.00277129","0.000","0.070"
"74","0.060976","0.063767","0.066557","0.02613428","0.008","0.075"
"90","0.061420","0.063811","0.066202","0.03501160","0.010","0.070"
"168","0.060373","0.063833","0.067292","0.02746949","0.022","0.130"
"201","0.061563","0.063856","0.066150","0.05533801","0.026","0.115"
"196","0.059900","0.063873","0.067845","0.02247504","0.026","0.140"
"217","0.061797","0.063904","0.066011","0.06429207","0.028","0.110"
"192","0.062174","0.063910","0.065647","0.07906276","0.024","0.085"
"169","0.060793","0.063928","0.067062","0.03222935","0.022","0.125"
"205","0.062114","0.063948","0.065782","0.07641206","0.026","0.095"
"204","0.062018","0.063950","0.065882","0.07109751","0.026","0.100"
"46","0.054286","0.064009","0.073732","0.00363950","0.006","0.140"
"14","0.055163","0.064042","0.072920","0.00263754","0.000","0.075"
"211","0.060258","0.064054","0.067849","0.02456227","0.028","0.140"
"191","0.062225","0.064063","0.065901","0.07351142","0.024","0.090"
"203","0.062038","0.064065","0.066093","0.06636615","0.026","0.105"
"163","0.062225","0.064068","0.065912","0.06746458","0.020","0.080"
"134","0.062205","0.064071","0.065938","0.05926473","0.016","0.075"
"60","0.060925","0.064084","0.067244","0.01957440","0.006","0.070"
"89","0.061626","0.064089","0.066552","0.03373777","0.010","0.075"
"154","0.060863","0.064187","0.067511","0.02867974","0.020","0.125"
"153","0.060519","0.064188","0.067858","0.02443072","0.020","0.130"
"170","0.061424","0.064193","0.066963","0.03924307","0.022","0.120"
"186","0.061882","0.064284","0.066686","0.05020105","0.024","0.115"
"59","0.061037","0.064297","0.067558","0.01882676","0.006","0.075"
"189","0.062311","0.064332","0.066352","0.06462094","0.024","0.100"
"120","0.062387","0.064343","0.066298","0.05217208","0.014","0.070"
"202","0.062150","0.064344","0.066537","0.05902795","0.026","0.110"
"190","0.062430","0.064347","0.066264","0.06946631","0.024","0.095"
"177","0.062576","0.064397","0.066217","0.07139130","0.022","0.085"
"105","0.062276","0.064416","0.066556","0.04336711","0.012","0.070"
"181","0.060325","0.064482","0.068639","0.02040315","0.024","0.140"
"155","0.061573","0.064506","0.067439","0.03496556","0.020","0.120"
"188","0.062391","0.064512","0.066632","0.06028423","0.024","0.105"
"176","0.062686","0.064613","0.066540","0.06633765","0.022","0.090"
"187","0.062436","0.064733","0.067030","0.05358184","0.024","0.110"
"104","0.062532","0.064735","0.066938","0.04180169","0.012","0.075"
"167","0.060906","0.064750","0.068594","0.02279952","0.022","0.135"
"119","0.062742","0.064753","0.066764","0.05032602","0.014","0.075"
"162","0.062915","0.064837","0.066759","0.06375053","0.020","0.085"
"175","0.062934","0.064945","0.066956","0.06263018","0.022","0.095"
"174","0.062954","0.065072","0.067189","0.05828689","0.022","0.100"
"161","0.063071","0.065106","0.067142","0.05918800","0.020","0.090"
"148","0.063189","0.065136","0.067083","0.05942259","0.018","0.080"
"171","0.062632","0.065150","0.067669","0.04521537","0.022","0.115"
"173","0.063074","0.065297","0.067521","0.05433167","0.022","0.105"
"160","0.063186","0.065313","0.067439","0.05588832","0.020","0.095"
"152","0.061392","0.065467","0.069541","0.02027380","0.020","0.135"
"172","0.063060","0.065470","0.067879","0.04827167","0.022","0.110"
"159","0.063252","0.065492","0.067731","0.05198134","0.020","0.100"
"156","0.063005","0.065669","0.068332","0.04027792","0.020","0.115"
"166","0.061309","0.065671","0.070032","0.01830276","0.022","0.140"
"133","0.063609","0.065686","0.067762","0.05148803","0.016","0.080"
"151","0.061109","0.065745","0.070381","0.01626157","0.020","0.140"
"158","0.063441","0.065792","0.068144","0.04841199","0.020","0.105"
"45","0.061953","0.065829","0.069704","0.01294436","0.004","0.070"
"73","0.062814","0.065924","0.069035","0.02251450","0.008","0.080"
"88","0.063207","0.065947","0.068687","0.02921909","0.010","0.080"
"157","0.063401","0.065951","0.068501","0.04297685","0.020","0.110"
"147","0.063973","0.066003","0.068033","0.05611196","0.018","0.085"
"44","0.062062","0.066066","0.070069","0.01244448","0.004","0.075"
"61","0.058030","0.066170","0.074310","0.00511942","0.008","0.140"
"139","0.062733","0.066244","0.069756","0.02515424","0.018","0.125"
"48","0.058822","0.066291","0.073759","0.00560177","0.006","0.130"
"124","0.062545","0.066315","0.070084","0.02169452","0.016","0.125"
"103","0.063921","0.066376","0.068831","0.03623719","0.012","0.080"
"58","0.062767","0.066413","0.070060","0.01613879","0.006","0.080"
"138","0.062576","0.066452","0.070327","0.02142484","0.018","0.130"
"132","0.064320","0.066487","0.068654","0.04857862","0.016","0.085"
"146","0.064349","0.066496","0.068643","0.05212604","0.018","0.090"
"118","0.064298","0.066535","0.068772","0.04365433","0.014","0.080"
"123","0.062582","0.066743","0.070904","0.01844089","0.016","0.130"
"145","0.064504","0.066747","0.068990","0.04919470","0.018","0.095"
"72","0.063503","0.066752","0.070001","0.02120121","0.008","0.085"
"47","0.058477","0.066820","0.075164","0.00460200","0.006","0.135"
"140","0.063733","0.066821","0.069910","0.03067927","0.018","0.120"
"87","0.064095","0.066956","0.069818","0.02751115","0.010","0.085"
"49","0.060242","0.066964","0.073686","0.00662346","0.006","0.125"
"131","0.064751","0.067044","0.069337","0.04509917","0.016","0.090"
"125","0.063852","0.067166","0.070479","0.02644780","0.016","0.120"
"63","0.060905","0.067234","0.073563","0.00779643","0.008","0.130"
"144","0.064887","0.067245","0.069603","0.04575252","0.018","0.100"
"57","0.063478","0.067288","0.071098","0.01519822","0.006","0.085"
"130","0.064918","0.067314","0.069710","0.04253836","0.016","0.095"
"102","0.064777","0.067339","0.069902","0.03415434","0.012","0.085"
"64","0.061636","0.067355","0.073074","0.00920839","0.008","0.125"
"79","0.062392","0.067379","0.072366","0.01213095","0.010","0.125"
"117","0.065068","0.067404","0.069741","0.04115271","0.014","0.085"
"70","0.063857","0.067457","0.071057","0.01849570","0.008","0.095"
"137","0.063205","0.067525","0.071845","0.01772834","0.018","0.135"
"141","0.064771","0.067575","0.070380","0.03543913","0.018","0.115"
"13","0.057723","0.067582","0.077442","0.00223851","0.000","0.080"
"71","0.064151","0.067590","0.071029","0.01961386","0.008","0.090"
"143","0.065185","0.067663","0.070140","0.04256686","0.018","0.105"
"136","0.062774","0.067696","0.072618","0.01419188","0.018","0.140"
"86","0.064672","0.067696","0.070721","0.02553792","0.010","0.090"
"78","0.062277","0.067773","0.073269","0.01030243","0.010","0.130"
"129","0.065272","0.067795","0.070317","0.03948424","0.016","0.100"
"85","0.064700","0.067860","0.071019","0.02410624","0.010","0.095"
"142","0.065196","0.067882","0.070567","0.03778727","0.018","0.110"
"126","0.064934","0.067940","0.070947","0.03054992","0.016","0.115"
"55","0.063763","0.067989","0.072216","0.01326665","0.006","0.095"
"69","0.064206","0.068002","0.071798","0.01711444","0.008","0.100"
"56","0.063995","0.068034","0.072074","0.01406691","0.006","0.090"
"128","0.065479","0.068130","0.070782","0.03675900","0.016","0.105"
"80","0.063780","0.068168","0.072556","0.01483208","0.010","0.120"
"68","0.064175","0.068171","0.072167","0.01589981","0.008","0.105"
"101","0.065462","0.068174","0.070886","0.03165492","0.012","0.090"
"116","0.065721","0.068192","0.070662","0.03816218","0.014","0.090"
"84","0.064950","0.068281","0.071612","0.02235884","0.010","0.100"
"50","0.062430","0.068305","0.074180","0.00813846","0.006","0.120"
"127","0.065434","0.068314","0.071193","0.03255603","0.016","0.110"
