"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"95"," 0.11310176"," 0.2295505","0.345999","6.2377e-05","0.040","0.240"
"96","-0.00757925"," 0.1110240","0.229627","1.2475e-04","0.040","0.235"
"97"," 0.05464287"," 0.1243499","0.194057","2.7030e-04","0.040","0.230"
"98"," 0.02799122"," 0.0930924","0.158194","3.4827e-04","0.040","0.225"
"99"," 0.02632471"," 0.0813823","0.136440","5.2500e-04","0.040","0.220"
"100"," 0.03272467"," 0.0773993","0.122074","7.7451e-04","0.040","0.215"
"101"," 0.04284595"," 0.0784307","0.114015","1.1540e-03","0.040","0.210"
"102"," 0.04590257"," 0.0775694","0.109236","1.4970e-03","0.040","0.205"
"103"," 0.05310949"," 0.0794916","0.105874","2.0480e-03","0.040","0.200"
"104"," 0.05451578"," 0.0757041","0.096892","2.9941e-03","0.040","0.195"
"105"," 0.05305126"," 0.0708253","0.088599","4.2000e-03","0.040","0.190"
"107","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.045","0.255"
"108","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.045","0.250"
"109"," 0.09123912"," 0.2279006","0.364562","4.6782e-05","0.045","0.245"
"110"," 0.12881438"," 0.2332270","0.337640","7.7971e-05","0.045","0.240"
"111"," 0.01773499"," 0.1262362","0.234737","1.4035e-04","0.045","0.235"
"112"," 0.07064359"," 0.1342138","0.197784","3.0668e-04","0.045","0.230"
"113"," 0.04581932"," 0.1055881","0.165357","3.8985e-04","0.045","0.225"
"114"," 0.03510561"," 0.0848316","0.134557","6.1337e-04","0.045","0.220"
"115"," 0.04069917"," 0.0813486","0.121998","8.9926e-04","0.045","0.215"
"116"," 0.05326429"," 0.0857578","0.118251","1.3255e-03","0.045","0.210"
"117"," 0.05672780"," 0.0857593","0.114791","1.6998e-03","0.045","0.205"
"118"," 0.06062198"," 0.0850618","0.109502","2.2871e-03","0.045","0.200"
"119"," 0.06212065"," 0.0816720","0.101223","3.3683e-03","0.045","0.195"
"120"," 0.05965230"," 0.0760707","0.092489","4.7354e-03","0.045","0.190"
"122","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.050","0.255"
"123","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.050","0.250"
"124","-0.09683364"," 0.0669268","0.230687","6.7575e-05","0.050","0.245"
"125"," 0.00997393"," 0.1279074","0.245841","1.0396e-04","0.050","0.240"
"126","-0.00018138"," 0.0941053","0.188392","1.9233e-04","0.050","0.235"
"127"," 0.06371478"," 0.1222210","0.180727","3.7946e-04","0.050","0.230"
"128"," 0.05726215"," 0.1095940","0.161926","4.9901e-04","0.050","0.225"
"129"," 0.04785430"," 0.0910724","0.134290","7.8490e-04","0.050","0.220"
"130"," 0.05169050"," 0.0867881","0.121886","1.1488e-03","0.050","0.215"
"131"," 0.06338055"," 0.0914144","0.119448","1.6790e-03","0.050","0.210"
"132"," 0.06421387"," 0.0897131","0.115212","2.0896e-03","0.050","0.205"
"133"," 0.06593562"," 0.0876028","0.109270","2.8277e-03","0.050","0.200"
"134"," 0.07024257"," 0.0876446","0.105047","4.1065e-03","0.050","0.195"
"135"," 0.06898773"," 0.0835597","0.098132","5.7698e-03","0.050","0.190"
"137","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.055","0.255"
"138","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.055","0.250"
"139","-0.04757602"," 0.0897933","0.227163","8.3169e-05","0.055","0.245"
"140"," 0.03037364"," 0.1358605","0.241347","1.1956e-04","0.055","0.240"
"141"," 0.02701837"," 0.1106870","0.194356","2.2352e-04","0.055","0.235"
"142"," 0.07412056"," 0.1274879","0.180855","4.3664e-04","0.055","0.230"
"143"," 0.06909934"," 0.1170998","0.165100","5.6659e-04","0.055","0.225"
"144"," 0.05500224"," 0.0954783","0.135954","8.7847e-04","0.055","0.220"
"145"," 0.05041037"," 0.0843503","0.118290","1.2735e-03","0.055","0.215"
"146"," 0.06569589"," 0.0922469","0.118798","1.8973e-03","0.055","0.210"
"147"," 0.06321113"," 0.0876482","0.112085","2.3391e-03","0.055","0.205"
"148"," 0.06366349"," 0.0842508","0.104838","3.2020e-03","0.055","0.200"
"149"," 0.06876559"," 0.0853127","0.101860","4.6367e-03","0.055","0.195"
"150"," 0.07019373"," 0.0839277","0.097662","6.5183e-03","0.055","0.190"
"152","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.060","0.255"
"153","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.060","0.250"
"154"," 0.00440347"," 0.1212746","0.238146","1.0396e-04","0.060","0.245"
"155"," 0.03017557"," 0.1273993","0.224623","1.5594e-04","0.060","0.240"
"156"," 0.03749252"," 0.1140390","0.190585","2.7030e-04","0.060","0.235"
"157"," 0.06439034"," 0.1153514","0.166312","4.9901e-04","0.060","0.230"
"158"," 0.05276515"," 0.0991714","0.145578","6.6015e-04","0.060","0.225"
"159"," 0.05372162"," 0.0913207","0.128920","1.0292e-03","0.060","0.220"
"160"," 0.05095866"," 0.0825533","0.114148","1.4710e-03","0.060","0.215"
"161"," 0.06795015"," 0.0923733","0.116796","2.2404e-03","0.060","0.210"
"162"," 0.06758679"," 0.0900230","0.112459","2.7290e-03","0.060","0.205"
"163"," 0.06636739"," 0.0853834","0.104400","3.6958e-03","0.060","0.200"
"164"," 0.06590116"," 0.0813020","0.096703","5.4112e-03","0.060","0.195"
"165"," 0.06643631"," 0.0792505","0.092065","7.6151e-03","0.060","0.190"
"167","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.065","0.255"
"168","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.065","0.250"
"169"," 0.00216009"," 0.1099534","0.217747","1.2475e-04","0.065","0.245"
"170"," 0.03233940"," 0.1221762","0.212013","1.8193e-04","0.065","0.240"
"171"," 0.04526757"," 0.1162070","0.187146","3.0668e-04","0.065","0.235"
"172"," 0.06882912"," 0.1176339","0.166439","5.4060e-04","0.065","0.230"
"173"," 0.05297350"," 0.0971430","0.141312","7.1733e-04","0.065","0.225"
"174"," 0.05506533"," 0.0909289","0.126793","1.1072e-03","0.065","0.220"
"175"," 0.05201893"," 0.0823827","0.112746","1.5802e-03","0.065","0.215"
"176"," 0.07160497"," 0.0947389","0.117873","2.4483e-03","0.065","0.210"
"177"," 0.07171332"," 0.0927209","0.113728","3.0305e-03","0.065","0.205"
"178"," 0.07050448"," 0.0884200","0.106336","4.0805e-03","0.065","0.200"
"179"," 0.06774937"," 0.0823672","0.096985","5.9726e-03","0.065","0.195"
"180"," 0.06598581"," 0.0781951","0.090404","8.4052e-03","0.065","0.190"
"182","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.070","0.255"
"183","-0.17110319"," 0.2580000","0.429103","5.1980e-06","0.070","0.250"
"184"," 0.02594273"," 0.1251401","0.224337","1.4035e-04","0.070","0.245"
"185"," 0.02952340"," 0.1150911","0.200659","2.0272e-04","0.070","0.240"
"186"," 0.03472822"," 0.0994836","0.164239","3.7426e-04","0.070","0.235"
"187"," 0.06690500"," 0.1123322","0.157759","6.3416e-04","0.070","0.230"
"188"," 0.04447434"," 0.0865715","0.128669","8.3169e-04","0.070","0.225"
"189"," 0.05035050"," 0.0846522","0.118954","1.2683e-03","0.070","0.220"
"190"," 0.04063676"," 0.0698421","0.099047","1.7985e-03","0.070","0.215"
"191"," 0.06677025"," 0.0887044","0.110639","2.8121e-03","0.070","0.210"
"192"," 0.06884145"," 0.0886285","0.108416","3.4723e-03","0.070","0.205"
"193"," 0.06966294"," 0.0864904","0.103318","4.6523e-03","0.070","0.200"
"194"," 0.06848587"," 0.0821656","0.095845","6.8094e-03","0.070","0.195"
"195"," 0.06620901"," 0.0776694","0.089130","9.5488e-03","0.070","0.190"
"197","-0.16567248"," 0.2568500","0.679372","1.0396e-05","0.075","0.255"
"198","-0.16567248"," 0.2568500","0.679372","1.0396e-05","0.075","0.250"
"199"," 0.03299757"," 0.1298029","0.226608","1.4555e-04","0.075","0.245"
"200"," 0.03879880"," 0.1194004","0.200002","2.1832e-04","0.075","0.240"
"201"," 0.04420508"," 0.1040552","0.163905","4.1584e-04","0.075","0.235"
"202"," 0.07525639"," 0.1173548","0.159453","7.1213e-04","0.075","0.230"
"203"," 0.05409785"," 0.0934859","0.132874","9.1486e-04","0.075","0.225"
"204"," 0.05385783"," 0.0864888","0.119120","1.3775e-03","0.075","0.220"
"205"," 0.04736949"," 0.0749245","0.102480","1.9597e-03","0.075","0.215"
"206"," 0.06626048"," 0.0873499","0.108439","3.0513e-03","0.075","0.210"
"207"," 0.06767473"," 0.0867729","0.105871","3.7374e-03","0.075","0.205"
"208"," 0.07076166"," 0.0869235","0.103085","5.0109e-03","0.075","0.200"
"209"," 0.06947949"," 0.0825834","0.095687","7.3552e-03","0.075","0.195"
"210"," 0.06723899"," 0.0782215","0.089204","1.0339e-02","0.075","0.190"
