"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"3417","0.0803","0.0840","0.01270"," 8305","0.0625","0.110","0.185"
"2670","0.0804","0.0841","0.01100"," 7167","0.0575","0.105","0.175"
"3769","0.0802","0.0841","0.01120"," 7336","0.0600","0.110","0.190"
"3043","0.0804","0.0842","0.01100"," 7191","0.0600","0.110","0.180"
"3033","0.0806","0.0843","0.01120"," 7284","0.0575","0.105","0.180"
"3054","0.0807","0.0843","0.01260"," 8250","0.0625","0.110","0.180"
"3447","0.0799","0.0843","0.01010"," 6598","0.0700","0.125","0.185"
"3780","0.0807","0.0843","0.01290"," 8414","0.0625","0.110","0.190"
"3759","0.0808","0.0845","0.01130"," 7408","0.0575","0.105","0.190"
"3800","0.0802","0.0847","0.00997"," 6510","0.0675","0.120","0.190"
"3810","0.0803","0.0847","0.01030"," 6753","0.0700","0.125","0.190"
"3084","0.0803","0.0848","0.00998"," 6515","0.0700","0.125","0.180"
"3427","0.0805","0.0848","0.00989"," 6458","0.0650","0.115","0.185"
"3022","0.0809","0.0849","0.00954"," 6232","0.0550","0.105","0.180"
"3748","0.0812","0.0851","0.00970"," 6335","0.0550","0.105","0.190"
"3064","0.0808","0.0852","0.00979"," 6393","0.0650","0.115","0.180"
"3790","0.0810","0.0853","0.01010"," 6578","0.0650","0.115","0.190"
"3395","0.0816","0.0857","0.00953"," 6224","0.0575","0.110","0.185"
"2669","0.0818","0.0859","0.00929"," 6063","0.0575","0.110","0.175"
"3032","0.0820","0.0861","0.00946"," 6180","0.0575","0.110","0.180"
"3758","0.0821","0.0862","0.00965"," 6304","0.0575","0.110","0.190"
"3426","0.0818","0.0865","0.00851"," 5559","0.0650","0.120","0.185"
"3747","0.0822","0.0866","0.00826"," 5395","0.0550","0.110","0.190"
"3063","0.0822","0.0870","0.00841"," 5494","0.0650","0.120","0.180"
"3789","0.0823","0.0870","0.00870"," 5679","0.0650","0.120","0.190"
"3425","0.0821","0.0871","0.00778"," 5081","0.0650","0.125","0.185"
"3778","0.0825","0.0875","0.00767"," 5005","0.0625","0.120","0.190"
"3052","0.0825","0.0876","0.00741"," 4841","0.0625","0.120","0.180"
"3062","0.0826","0.0876","0.00768"," 5016","0.0650","0.125","0.180"
"3788","0.0826","0.0877","0.00797"," 5201","0.0650","0.125","0.190"
"3777","0.0827","0.0881","0.00702"," 4584","0.0625","0.125","0.190"
