"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"142","0.060149","0.061770","0.063391","0.11145655","0.045","0.110"
"125","0.059864","0.061803","0.063742","0.08224842","0.040","0.120"
"143","0.060305","0.061808","0.063311","0.12460919","0.045","0.105"
"124","0.059689","0.061869","0.064049","0.06803901","0.040","0.125"
"90","0.060460","0.061890","0.063320","0.10329178","0.025","0.070"
"106","0.058606","0.061921","0.065236","0.03260426","0.035","0.140"
"132","0.060815","0.062118","0.063421","0.14552100","0.040","0.085"
"108","0.059550","0.062166","0.064783","0.04863782","0.035","0.130"
"89","0.060747","0.062217","0.063687","0.09975532","0.025","0.075"
"131","0.060888","0.062264","0.063639","0.13573380","0.040","0.090"
"111","0.060355","0.062289","0.064222","0.07904522","0.035","0.115"
"121","0.059345","0.062367","0.065390","0.03920580","0.040","0.140"
"126","0.060597","0.062368","0.064138","0.09438157","0.040","0.115"
"130","0.060954","0.062385","0.063817","0.12879681","0.040","0.095"
"117","0.060978","0.062394","0.063810","0.12231148","0.035","0.085"
"103","0.060961","0.062407","0.063853","0.11263610","0.030","0.080"
"107","0.059503","0.062413","0.065323","0.04058925","0.035","0.135"
"123","0.060114","0.062501","0.064887","0.05834828","0.040","0.130"
"129","0.061043","0.062546","0.064048","0.12030098","0.040","0.100"
"116","0.061115","0.062609","0.064103","0.11404147","0.035","0.090"
"75","0.061119","0.062695","0.064272","0.08378973","0.020","0.070"
"115","0.061160","0.062715","0.064271","0.10818538","0.035","0.095"
"128","0.061154","0.062727","0.064301","0.11245851","0.040","0.105"
"127","0.061036","0.062734","0.064431","0.10052269","0.040","0.110"
"114","0.061111","0.062746","0.064381","0.10101599","0.035","0.100"
"122","0.060103","0.062758","0.065414","0.04867728","0.040","0.135"
"112","0.060916","0.062768","0.064620","0.08424796","0.035","0.110"
"113","0.061102","0.062817","0.064532","0.09434649","0.035","0.105"
"95","0.060665","0.062927","0.065189","0.05947521","0.030","0.120"
"94","0.060411","0.062959","0.065508","0.04901931","0.030","0.125"
