"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"773",830,0.0667,0.0707,0.0748,0.0178,6855,0.086,0.11
"774",831,0.0685,0.0719,0.0753,0.0227,8757,0.086,0.105
"775",832,0.0684,0.0717,0.075,0.0241,9279,0.086,0.1
"793",850,0.0676,0.071,0.0743,0.0243,9353,0.088,0.105
"794",851,0.0677,0.0709,0.0741,0.0257,9907,0.088,0.1
"812",869,0.0675,0.0707,0.0739,0.0259,9983,0.09,0.105
"813",870,0.0676,0.0707,0.0738,0.0274,10568,0.09,0.1
"829",886,0.0665,0.0704,0.0743,0.0192,7410,0.092,0.115
"830",887,0.0666,0.0703,0.0739,0.0217,8346,0.092,0.11
"831",888,0.0678,0.0709,0.074,0.0275,10605,0.092,0.105
"832",889,0.0679,0.0709,0.0739,0.0291,11222,0.092,0.1
"847",904,0.0656,0.0701,0.0747,0.0153,5888,0.094,0.12
"848",905,0.0667,0.0705,0.0743,0.0205,7904,0.094,0.115
"849",906,0.0666,0.0702,0.0737,0.0231,8900,0.094,0.11
"850",907,0.0677,0.0707,0.0737,0.0293,11286,0.094,0.105
"851",908,0.0678,0.0707,0.0736,0.031,11945,0.094,0.1
"869",926,0.0671,0.0701,0.073,0.0311,11976,0.096,0.105
"870",927,0.0673,0.0701,0.073,0.0329,12665,0.096,0.1
